CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE,Year
Vol dans / sur véhicule à moteur,2024-07-31,jour,13.0,296261.52,5032110.53,-73.60912,45.428877,2024
Vol de véhicule à moteur,2024-06-13,jour,13.0,296261.52,5032110.53,-73.60912,45.428877,2024
Introduction,2024-09-06,jour,13.0,296571.687990033,5032239.000002,-73.605158,45.430036,2024
Introduction,2024-02-07,jour,44.0,299254.770008958,5045371.23299715,-73.571017,45.548233,2024
Vols qualifiés,2024-04-08,soir,44.0,299254.770008958,5045371.23299715,-73.571017,45.548233,2024
Introduction,2024-06-28,soir,30.0,296316.944005794,5046775.5020023,-73.608665,45.560839,2024
Introduction,2024-03-22,soir,30.0,296316.944005794,5046775.5020023,-73.608665,45.560839,2024
Vol dans / sur véhicule à moteur,2024-06-02,nuit,30.0,296316.944005794,5046775.5020023,-73.608665,45.560839,2024
Vol de véhicule à moteur,2024-11-13,soir,30.0,295646.25399840093,5047186.38599904,-73.617264,45.564528,2024
Vol dans / sur véhicule à moteur,2024-12-30,jour,8.0,291116.780999942,5033906.50000548,-73.674918,45.444956,2024
Vol de véhicule à moteur,2024-03-06,nuit,8.0,291136.969010527,5032644.9999936,-73.674625,45.433605,2024
Méfait,2024-06-02,jour,8.0,291136.969010527,5032644.9999936,-73.674625,45.433605,2024
Vol dans / sur véhicule à moteur,2024-04-02,soir,13.0,297027.8439948731,5031656.99999715,-73.599319,45.424804,2024
Vol de véhicule à moteur,2024-02-29,jour,8.0,291119.9059954161,5033575.00000172,-73.674869,45.441973,2024
Introduction,2024-06-25,nuit,44.0,298407.394989636,5046081.26599891,-73.581878,45.554614,2024
Vol dans / sur véhicule à moteur,2024-12-31,soir,44.0,298299.278008014,5046127.99000564,-73.583264,45.555034,2024
Vol de véhicule à moteur,2024-07-31,nuit,44.0,298109.97699434205,5046208.5860013,-73.585689,45.555757,2024
Vol de véhicule à moteur,2024-01-25,jour,45.0,296879.507991613,5053804.59199616,-73.601573,45.624095,2024
Vol dans / sur véhicule à moteur,2024-11-16,jour,45.0,296879.507991613,5053804.59199616,-73.601573,45.624095,2024
Vol de véhicule à moteur,2024-09-23,nuit,45.0,296879.507991613,5053804.59199616,-73.601573,45.624095,2024
Vol de véhicule à moteur,2024-06-28,jour,45.0,296879.507991613,5053804.59199616,-73.601573,45.624095,2024
Introduction,2024-04-09,jour,45.0,296879.507991613,5053804.59199616,-73.601573,45.624095,2024
Vol dans / sur véhicule à moteur,2025-01-21,jour,45.0,296351.924996905,5054515.85799583,-73.608351,45.630489,2025
